check_id	area	what	command	expected	observed	verdict	evidence_date
L-01	anchor	HEAD commit + author date -- the review's as-of point	git log -1 --date=iso --format='%H %ad'	record it; this is the review's as-of commit and date	c4dc410d0954ca6141cc9da2cee492681d2f187d 2026-08-11 19:52:46 -0400	PASS	2026-08-11
L-02	anchor	no pre-existing source/test/config drift BEFORE the evidence run	git status --porcelain -- src tests config Snakefile	EMPTY	(empty output; exit 0)	PASS	2026-08-11
L-03	suite	tests/m3 -- the single largest body of agent-verifiable evidence. Ran EXACTLY ONCE in this plan.	/rs1/researchers/c/ckclinto/conda_envs/smoke_dev/bin/python -m pytest tests/m3 -q	902 passed, 31 skipped, 0 failed; skips EXACTLY 31	902 passed, 31 skipped, 4 warnings in 927.71s (0:15:27)	PASS	2026-08-11
L-04	suite	tests/phase2	/rs1/researchers/c/ckclinto/conda_envs/smoke_dev/bin/python -m pytest tests/phase2 -q	136 passed, 1 skipped, 0 failed; skips EXACTLY 1	136 passed, 1 skipped in 1.85s	PASS	2026-08-11
L-05	DAG	the TARGETED m3_convert_aou_afr_rds_all dry-run (BLOCKER-C) -- satisfiable, unlike the struck full-workflow dry-run	/rs1/researchers/c/ckclinto/conda_envs/smoke_dev/bin/snakemake --snakefile Snakefile m3_convert_aou_afr_rds_all -n --quiet	exit 0, clean DAG, 575 jobs	build_ld_rds_aou_afr 276; m3_aou_npz_arrives 276; m3_convert_aou_afr_rds_all 1; m3_ingest_aou_export_arrives 22; total 575	PASS	2026-08-11
L-06	DAG	snakemake --list -- the D-04b-03 / MEDIUM-7 substitute for the STRUCK full-workflow --dry-run	/rs1/researchers/c/ckclinto/conda_envs/smoke_dev/bin/snakemake --snakefile Snakefile --list	exit 0	exit 0; the full rule list printed (926 output lines, of which 148 are rule names; verbatim in the log)	PASS	2026-08-11
L-07	config	ld_read_path as shipped -- the BLOCKER-B ancestry allow-list that contains Track-A EUR	/rs1/researchers/c/ckclinto/conda_envs/smoke_dev/bin/python -c 'import yaml; print(yaml.safe_load(open("config/pipeline.yaml"))["ld_read_path"])'	{enabled: True, ancestries: ['AFR'], allele_aware: True, coloc: True}	{'enabled': True, 'ancestries': ['AFR'], 'allele_aware': True, 'coloc': True}	PASS	2026-08-11
L-08	config	ld_panel.strict_aou_only	/rs1/researchers/c/ckclinto/conda_envs/smoke_dev/bin/python -c 'import yaml; d=yaml.safe_load(open("config/pipeline.yaml")); print("ld_panel.strict_aou_only =", repr(d["ld_panel"]["strict_aou_only"]))'	False	ld_panel.strict_aou_only = False	PASS	2026-08-11
L-09	config	m3_convert_max_n_var -- the BLOCKER-D fail-fast ceiling	/rs1/researchers/c/ckclinto/conda_envs/smoke_dev/bin/python -c 'import yaml; d=yaml.safe_load(open("config/pipeline.yaml")); print("m3_convert_max_n_var =", repr(d["m3_convert_max_n_var"]))'	120000	m3_convert_max_n_var = 120000	PASS	2026-08-11
L-10	config	allow_degraded value, AND whether allow_partial_manifest exists as a config key at all	/rs1/researchers/c/ckclinto/conda_envs/smoke_dev/bin/python -c 'import yaml	allow_degraded False; if allow_partial_manifest is ABSENT, record that plus its CODE default and file:line	CONFIG KEY: occlusion_lockstep.allow_degraded = False; CONFIG KEY: allow_partial_manifest = ABSENT (not a config key anywhere in config/pipeline.yaml); code default at src/python/assemble_occlusion_catalog.py:345 'allow_partial_manifest: bool = False,'; GATE 1 raise at :415 'if orphaned and not allow_partial_manifest:'	PASS	2026-08-11
L-11	BLOCKER-1	the run_finemap shell: block actually PASSES the declared ld_matrix (the DEC-2026-08-05 acceptance property, static half)	grep -c -- '--ld-file {input.ld_matrix}' src/snakemake/rules/finemap.smk	exactly 1	1	PASS	2026-08-11
L-12	BLOCKER-1	the params.region_id guard rail survives character-for-character	grep -cF 'region_id=lambda wildcards: REGION_SAFE_TO_ID[wildcards.region],' src/snakemake/rules/finemap.smk	exactly 1	1	PASS	2026-08-11
