# 260812-09a-stale-claim-sweep.tsv -- the CLAIM-LEVEL record-surface sweep for quick-260812-09a.
#
# WHY CLAIM-LEVEL: the earlier sweep registered sites FILE BY FILE and missed six or more. Here each claim
# carries its own grep pattern, its FULL hit list across the named surfaces, and a per-hit disposition.
# Sweeping by claim is what found ROADMAP.md:213, STATE.md:28 and three live HANDOFF.json fields
# (headline, carter_decisions_outstanding[0] and [2]) that the file-by-file scope did not name.
#
# SCOPE, STATED SO THE COUNTS REPRODUCE. `grep -r` does NOT follow symlinks on this GPFS tree (it silently
# UNDER-counts), and recursing from the repo root silently OVER-counts. The scope is an EXPLICIT file list:
#     .planning/*.md   .planning/*.json
#     .planning/phases/m3-aou-afr-ld-panel-build/*.md   + .continue-here.md (the glob misses dotfiles)
#     .claude/skills/*/SKILL.md
# SURFACES SCANNED: 83 files, measured AFTER the 2026-08-12 fixes.
# ⚠ ONE SCOPE EXCLUSION, and it is not a convenience: .planning/DECISIONS.md is swept UP TO the
#   '## 2026-08-12 - DEC-2026-08-12-adversarial-review-remediation' heading. That entry is the RECORD OF
#   this enumeration, not a subject of it -- it necessarily QUOTES every stale claim in order to register
#   it, so counting it would make the sweep circular and self-inflating. Same scoping discipline the
#   260811-rcw review states for its own Reconciliation log. Everything BEFORE that heading IS swept.
#
# ⚠ THIS FILE IS TAB-SEPARATED AND NOT CSV-QUOTED. Excerpts contain quote characters; a QUOTE_MINIMAL
# csv reader MERGES rows and silently under-counts (it read 130 rows back as 118 during authoring).
# Parse it by splitting on TAB, never with csv defaults.
#
# disposition=fixed      : a dated 2026-08-12 supersession/correction note sits within +/-6 lines of the hit.
# disposition=left       : deliberately untouched; the reason is the last column.
# disposition=eliminated : the wording was rewritten, so the pattern no longer matches anywhere.
#
# 260812-09a-check-sweep.sh asserts, per (claim_id, file), that the number of UN-ANNOTATED hits equals the
# number of disposition=left rows recorded here. The DEC-2026-08-12 canonical table is RENDERED from this
# file, never retyped -- that is what stops a fourth divergent list from being born.
claim_id	grep_pattern	file	line	excerpt	disposition	reason
C1	0-line diff	.planning/DECISIONS.md	1413	ntence — *'All 7 pinned files 0-line diff vs `bf16289`'* — whose	left	DECISIONS.md is STRICTLY APPEND-ONLY, and every hit here is a retraction/decision entry stating the claim in order to retract or answer it - correct as written
C1	0-line diff	.planning/DECISIONS.md	1424	it is a **status report** (*'0-line diff'*), not a freeze	left	DECISIONS.md is STRICTLY APPEND-ONLY, and every hit here is a retraction/decision entry stating the claim in order to retract or answer it - correct as written
C1	0-line diff	.planning/DECISIONS.md	1474	ction of *'All 7 pinned files 0-line diff vs `bf16289`'*. **Do not repeat	left	DECISIONS.md is STRICTLY APPEND-ONLY, and every hit here is a retraction/decision entry stating the claim in order to retract or answer it - correct as written
C1	0-line diff	.planning/HANDOFF.json	18	ier claim 'All 7 pinned files 0-line diff vs bf16289' is FALSE. bf16289 appears in ZERO places across src/, tes	fixed	corrected or annotated in place with a dated 2026-08-12 supersession note within +/-6 lines
C1	0-line diff	.planning/HANDOFF.json	48	he clause 'all 7 pinned files 0-line diff', which is the RETRACTED claim. It is STRICKEN here rather than left	fixed	corrected or annotated in place with a dated 2026-08-12 supersession note within +/-6 lines
C1	0-line diff	.planning/HANDOFF.json	103	rozen contracts + finemap.smk 0-line diff. REAL-DATA PROOF over 151,223,963 rows: rs182965575 present in 7 of 9	left	explicitly DATED key (headline_2026_08_0X) - a snapshot of its own date, not a live status field
C1	0-line diff	.planning/STATE.md	5	(expected). Frozen contracts 0-line diff across the whole session. m3-07a COMPLETE + UAT-VERIFIED 11/11. OSF g	left	INSIDE THE FRONTMATTER FENCE (measured: lines 1-24). The frontmatter must stay byte-identical and its YAML is pre-existing-unparseable, so this is recorded as a body-side note instead - see STATE.md Session Continuity
C1	0-line diff	.planning/STATE.md	17	tological; all 7 pinned files 0-line diff. Independently reproduced the m3-04c crosswalk oracle 12/12 EXACTLY a	left	INSIDE THE FRONTMATTER FENCE (measured: lines 1-24). The frontmatter must stay byte-identical and its YAML is pre-existing-unparseable, so this is recorded as a body-side note instead - see STATE.md Session Continuity
C1	0-line diff	.planning/STATE.md	41	ACTED.** *'All 7 pinned files 0-line diff vs `bf16289`'* — `bf16289` appears in **ZERO** places across `src/`,	left	dated historical block or quick-task ledger row - preserved as the record of its own session; DEC-2026-08-11-sr4-disposition protects these from rewriting
C1	0-line diff	.planning/STATE.md	242	> files verified **0-line diff**. I also **independently reproduced the m3-04c crosswalk oracle	left	dated historical block or quick-task ledger row - preserved as the record of its own session; DEC-2026-08-11-sr4-disposition protects these from rewriting
C1	0-line diff	.planning/STATE.md	268	eport.** All **7 pinned files 0-line diff** (the 4 m3-07 modules + the 3 frozen contracts).	left	dated historical block or quick-task ledger row - preserved as the record of its own session; DEC-2026-08-11-sr4-disposition protects these from rewriting
C1	0-line diff	.planning/STATE.md	286	nst the 07a REDs — **`tests/` 0-line diff: no test was edited to force green**. **Full `tests/m3` 15F/405P/31S	left	dated historical block or quick-task ledger row - preserved as the record of its own session; DEC-2026-08-11-sr4-disposition protects these from rewriting
C1	0-line diff	.planning/STATE.md	1613	. **Frozen contracts VERIFIED 0-line diff** (`plink_ld_to_npz.py`, `ld_npz_to_rds.R`, `condition_ld_matrix.py`)	left	dated historical block or quick-task ledger row - preserved as the record of its own session; DEC-2026-08-11-sr4-disposition protects these from rewriting
C1	0-line diff	.planning/STATE.md	1615	either module exists; its RED 0-line diff — a DROP below 15 would have meant 07c was built). Frozen contracts 0	left	dated historical block or quick-task ledger row - preserved as the record of its own session; DEC-2026-08-11-sr4-disposition protects these from rewriting
C1	0-line diff	.planning/STATE.md	1617	ant it was). Frozen contracts 0-line diff; `_PANEL_COLUMNS` unchanged; `:392`/`:1281`/`:1590` green; u22's head	left	dated historical block or quick-task ledger row - preserved as the record of its own session; DEC-2026-08-11-sr4-disposition protects these from rewriting
