check_id	area	what	command	expected	observed	verdict	evidence_date
L-01	anchor	HEAD commit + author date -- this evidence set's as-of point (the post-Task-1 HEAD; parent b17de1c = task_start_sha)	git log -1 --date=iso --format='%H %ad'	record it; must be the Task-1 feat commit	5284505f5b7410fe3775e96f3ac3eb1adf668f40 2026-08-12 18:48:19 -0400	PASS	2026-08-12
L-02	anchor	no source/test/config drift BEFORE the evidence run (Task 1 already committed)	git status --porcelain -- src tests config Snakefile	EMPTY	(empty output; exit 0)	PASS	2026-08-12
L-03	suite	tests/m3 -- ran EXACTLY ONCE in this quick task (serves Task-1 suite verification AND this row). NEW BASELINE: 902 + 5 new per_region_occlusion_manifest tests = 907	/rs1/researchers/c/ckclinto/conda_envs/smoke_dev/bin/python -m pytest tests/m3 -q	907 passed (= 902 + N, N=5), EXACTLY 31 skipped, 0 failed	907 passed, 31 skipped, 4 warnings in 866.18s (0:14:26)	PASS	2026-08-12
L-04	suite	tests/phase2	/rs1/researchers/c/ckclinto/conda_envs/smoke_dev/bin/python -m pytest tests/phase2 -q	136 passed, EXACTLY 1 skipped, 0 failed	136 passed, 1 skipped in 2.05s	PASS	2026-08-12
L-05	DAG	the TARGETED m3_convert_aou_afr_rds_all dry-run (BLOCKER-C) -- satisfiable, unlike the struck full-workflow dry-run	/rs1/researchers/c/ckclinto/conda_envs/smoke_dev/bin/snakemake --snakefile Snakefile m3_convert_aou_afr_rds_all -n --quiet	exit 0, clean DAG, 575 jobs	build_ld_rds_aou_afr 276; m3_aou_npz_arrives 276; m3_convert_aou_afr_rds_all 1; m3_ingest_aou_export_arrives 22; total 575	PASS	2026-08-12
L-06	DAG	snakemake --list -- the D-04b-03 / MEDIUM-7 substitute for the STRUCK full-workflow --dry-run	/rs1/researchers/c/ckclinto/conda_envs/smoke_dev/bin/snakemake --snakefile Snakefile --list	exit 0	exit 0; 926 output lines, of which 148 are rule names (verbatim in the log)	PASS	2026-08-12
L-07	config	ld_read_path as shipped -- the BLOCKER-B ancestry allow-list that contains Track-A EUR	/rs1/researchers/c/ckclinto/conda_envs/smoke_dev/bin/python -c 'import yaml; print(yaml.safe_load(open("config/pipeline.yaml"))["ld_read_path"])'	{enabled: True, ancestries: ['AFR'], allele_aware: True, coloc: True}	{'enabled': True, 'ancestries': ['AFR'], 'allele_aware': True, 'coloc': True}	PASS	2026-08-12
L-08	config	ld_panel.strict_aou_only	/rs1/researchers/c/ckclinto/conda_envs/smoke_dev/bin/python -c 'import yaml; d=yaml.safe_load(open("config/pipeline.yaml")); print("ld_panel.strict_aou_only =", repr(d["ld_panel"]["strict_aou_only"]))'	False	ld_panel.strict_aou_only = False	PASS	2026-08-12
L-09	config	m3_convert_max_n_var -- the BLOCKER-D ceiling. CONFIG-VALUE READ ONLY (rcw B-LOW-3 corrected label): proves the VALUE is shipped, NOT that anything enforces it; the enforcement chain (m3_convert_npz_rds.smk:132/:163/:180 -> ld_npz_to_rds.R:272) is not measured by the L-set	/rs1/researchers/c/ckclinto/conda_envs/smoke_dev/bin/python -c 'import yaml; d=yaml.safe_load(open("config/pipeline.yaml")); print("m3_convert_max_n_var =", repr(d["m3_convert_max_n_var"]))'	120000	m3_convert_max_n_var = 120000	PASS	2026-08-12
L-10	config	allow_degraded value, AND whether allow_partial_manifest exists as a config key at all	/rs1/researchers/c/ckclinto/conda_envs/smoke_dev/bin/python -c 'import yaml (multi-line walk; verbatim in the log L-10 block) + grep -n on assemble_occlusion_catalog.py	allow_degraded False; allow_partial_manifest ABSENT as a config key => record the CODE default and file:line	CONFIG KEY: occlusion_lockstep.allow_degraded = False; CONFIG KEY: allow_partial_manifest = ABSENT (not a config key anywhere in config/pipeline.yaml); code default src/python/assemble_occlusion_catalog.py:345 'allow_partial_manifest: bool = False,'; GATE-1 raise :415 'if orphaned and not allow_partial_manifest:'	PASS	2026-08-12
L-11	BLOCKER-1	'--ld-file {input.ld_matrix}' PRESENT in finemap.smk -- FILE-WIDE PRESENCE ONLY (rcw B-LOW-3 corrected label): proves the token occurs once in the FILE, not that it sits inside run_finemap's shell:; the SCOPED proof is L-13's test_run_finemap_shell_passes_the_declared_ld_matrix	grep -c -- '--ld-file {input.ld_matrix}' src/snakemake/rules/finemap.smk	exactly 1	1	PASS	2026-08-12
L-12	BLOCKER-1	the params.region_id guard rail survives character-for-character	grep -cF 'region_id=lambda wildcards: REGION_SAFE_TO_ID[wildcards.region],' src/snakemake/rules/finemap.smk	exactly 1	1	PASS	2026-08-12
L-13	BLOCKER-1	test_ld_read_path.py -- the DEC-2026-08-05 acceptance suite; the FOUR BEHAVIOURAL tests must RUN, not skip	/rs1/researchers/c/ckclinto/conda_envs/smoke_dev/bin/python -m pytest tests/m3/test_ld_read_path.py -v	8 passed, 0 skipped; all four behavioural tests PASSED (a SKIP here is a RED)	8 passed in 14.42s; test_loader_opens_the_declared_file_not_the_reconstructed_path PASSED; test_absent_ld_file_still_reconstructs_from_ld_dir PASSED; test_ld_file_works_when_ld_dir_is_absent PASSED; test_both_absent_returns_the_byte_identical_legacy_status PASSED; 0 skipped	PASS	2026-08-12
L-14	BLOCKER-A	test_ld_declared_authoritative.py -- THE PRODUCTION-THRESHOLD acceptance suite (reads config/susie_policy.yaml)	/rs1/researchers/c/ckclinto/conda_envs/smoke_dev/bin/python -m pytest tests/m3/test_ld_declared_authoritative.py -v	all pass, 0 skipped	22 passed in 59.96s; 0 skipped; includes test_thresholds_under_test_are_the_production_thresholds PASSED	PASS	2026-08-12
L-15	data	data/processed/ld_reference absent pre-fire (this is WHY the full-workflow dry-run is unsatisfiable, and why EUR is safe today)	test ! -e data/processed/ld_reference && echo ABSENT	ABSENT	ABSENT	PASS	2026-08-12
